url,status,validation type
betway.co.za,TRUE,detected Google Tag but no FDC
gismeteo.ua,TRUE,detected Google Tag but no FDC
econjobrumors.com,TRUE,detected Google Tag but no FDC
earth911.com,missing gtag,detected Google Tag but no FDC
whois.com,TRUE,detected Google Tag but no FDC
headphonesty.com,TRUE,detected Google Tag but no FDC
lovelycraft.com,TRUE,detected Google Tag but no FDC
ihdstreams.xyz,TRUE,detected Google Tag but no FDC
aade.gr,TRUE,detected Google Tag but no FDC
enaos.net,TRUE,detected Google Tag but no FDC
prettylittlething.com,TRUE,detected Google Tag but no FDC
livescore.com,TRUE,detected Google Tag but no FDC
ptonline.com,error loading,detected Google Tag but no FDC
freemeteo.gr,TRUE,detected Google Tag but no FDC
disasterready.org,TRUE,detected Google Tag but no FDC
rakuten.net,missing gtag,detected Google Tag but no FDC
d20pfsrd.com,TRUE,detected Google Tag but no FDC
seirogan.co.jp,TRUE,detected Google Tag but no FDC
espn.com,error loading,detected Google Tag but no FDC
kiteforum.com,TRUE,detected Google Tag but no FDC
genealogia.fi,TRUE,detected Google Tag but no FDC
luminello.com,TRUE,detected Google Tag but no FDC
tryexponent.com,TRUE,detected Google Tag but no FDC
epasatiempos.es,TRUE,detected Google Tag but no FDC
greatruns.com,TRUE,detected Google Tag but no FDC
ngv.vic.gov.au,TRUE,detected Google Tag but no FDC
indiarailinfo.com,TRUE,detected Google Tag but no FDC
farmakopeika.ru,TRUE,detected Google Tag but no FDC
ahnegao.com.br,missing gtag,detected Google Tag but no FDC
pccasegear.com,TRUE,detected Google Tag but no FDC
trovaprezzi.it,TRUE,detected Google Tag but no FDC
track718.us,TRUE,detected Google Tag but no FDC
tafensw.edu.au,TRUE,detected Google Tag but no FDC
ringside.com,TRUE,detected Google Tag but no FDC
gettyimages.com.au,TRUE,detected Google Tag but no FDC
tazz.ro,TRUE,detected Google Tag but no FDC
adf.org.au,TRUE,detected Google Tag but no FDC
htx.com,TRUE,detected Google Tag but no FDC
optimantra.com,TRUE,detected Google Tag but no FDC
supermoto8.com,TRUE,detected Google Tag but no FDC
javhdporn.net,error loading,detected Google Tag but no FDC
apetitonline.cz,TRUE,detected Google Tag but no FDC
mathportal.org,TRUE,detected Google Tag but no FDC
tripadvisor.co,missing gtag,detected Google Tag but no FDC
line.me,TRUE,detected Google Tag but no FDC
hexclad.com,TRUE,detected Google Tag but no FDC
propest.ru,TRUE,detected Google Tag but no FDC
jva.or.jp,TRUE,detected Google Tag but no FDC
waikatotimes.co.nz,TRUE,detected Google Tag but no FDC
mediasphera.ru,TRUE,detected Google Tag but no FDC
thieme-connect.de,missing gtag,detected Google Tag but no FDC
golfnetwork.co.jp,TRUE,detected Google Tag but no FDC
simplepractice.com,TRUE,detected Google Tag but no FDC
grandinroad.com,TRUE,detected Google Tag but no FDC
tenniseurope.org,TRUE,detected Google Tag but no FDC
iett.istanbul,TRUE,detected Google Tag but no FDC
doubleblindmag.com,TRUE,detected Google Tag but no FDC
ien.com,TRUE,detected Google Tag but no FDC
cocukludunya.com,TRUE,detected Google Tag but no FDC
pmuc.cm,TRUE,detected Google Tag but no FDC
baseball-reference.com,TRUE,detected Google Tag but no FDC
dxpe.com,TRUE,detected Google Tag but no FDC
proshop.dk,missing gtag,detected Google Tag but no FDC
umarexusa.com,TRUE,detected Google Tag but no FDC
apiture.com,TRUE,detected Google Tag but no FDC
wix.com,TRUE,detected Google Tag but no FDC
snyderfuneralhomes.com,TRUE,detected Google Tag but no FDC
palmettostatearmory.com,TRUE,detected Google Tag but no FDC
point2homes.com,TRUE,detected Google Tag but no FDC
outletmoto.eu,TRUE,detected Google Tag but no FDC
st-takla.org,TRUE,detected Google Tag but no FDC
rinvoq.com,TRUE,detected Google Tag but no FDC
tohotheater.jp,TRUE,detected Google Tag but no FDC
travelist.jp,TRUE,detected Google Tag but no FDC
zenpirlanta.com,TRUE,detected Google Tag but no FDC
bkolimp.kg,error loading,detected Google Tag but no FDC
oncolink.org,TRUE,detected Google Tag but no FDC
kemenkeu.go.id,TRUE,detected Google Tag but no FDC
newportmansions.org,TRUE,detected Google Tag but no FDC
worldpokerdeals.com,TRUE,detected Google Tag but no FDC
57hours.com,TRUE,detected Google Tag but no FDC
trivago.com,TRUE,detected Google Tag but no FDC
usjticketing.com,TRUE,detected Google Tag but no FDC
yaklass.ru,TRUE,detected Google Tag but no FDC
sc-project.com,TRUE,detected Google Tag but no FDC
qbebe.ro,TRUE,detected Google Tag but no FDC
frontiersin.org,TRUE,detected Google Tag but no FDC
doctorbook.jp,TRUE,detected Google Tag but no FDC
oneroof.co.nz,TRUE,detected Google Tag but no FDC
taxtim.com,TRUE,detected Google Tag but no FDC
ibdb.com,TRUE,detected Google Tag but no FDC
moneyforward.com,TRUE,detected Google Tag but no FDC
milieudefensie.nl,TRUE,detected Google Tag but no FDC
nike.com,TRUE,detected Google Tag but no FDC
altasciences.com,TRUE,detected Google Tag but no FDC
akindo-sushiro.co.jp,TRUE,detected Google Tag but no FDC
redf.in,TRUE,detected Google Tag but no FDC
inkling.com,TRUE,detected Google Tag but no FDC
qualp.com.br,TRUE,detected Google Tag but no FDC
halodoc.com,TRUE,detected Google Tag but no FDC
desire2learn.com,error loading,detected Google Tag but no FDC
dat.com,TRUE,detected Google Tag but no FDC
tga.community,TRUE,detected Google Tag but no FDC
orlandodatenightguide.com,TRUE,detected Google Tag but no FDC
kueez.com,TRUE,detected Google Tag but no FDC
vio.com,TRUE,detected Google Tag but no FDC
flyordie.com,TRUE,detected Google Tag but no FDC
indosport.com,error loading,detected Google Tag but no FDC
couponchief.com,TRUE,detected Google Tag but no FDC
peta2.com,TRUE,detected Google Tag but no FDC
thequantuminsider.com,TRUE,detected Google Tag but no FDC
thedispensarynv.com,TRUE,detected Google Tag but no FDC
uncpress.org,TRUE,detected Google Tag but no FDC
linktr.ee,TRUE,detected Google Tag but no FDC
graffer.jp,TRUE,detected Google Tag but no FDC
landsearch.com,TRUE,detected Google Tag but no FDC
groupon.es,TRUE,detected Google Tag but no FDC
cloudynights.com,TRUE,detected Google Tag but no FDC
fujita-hu.ac.jp,TRUE,detected Google Tag but no FDC
ligaram.me,TRUE,detected Google Tag but no FDC
easyliveauction.com,TRUE,detected Google Tag but no FDC
qrco.de,TRUE,detected Google Tag but no FDC
morningbrew.com,TRUE,detected Google Tag but no FDC
business-standard.com,TRUE,detected Google Tag but no FDC
tap-biz.jp,TRUE,detected Google Tag but no FDC
kumapon.jp,TRUE,detected Google Tag but no FDC
greenreport.it,TRUE,detected Google Tag but no FDC
grantwatch.com,FALSE,detected Google Tag but no FDC
tennisdirector.com,TRUE,detected Google Tag but no FDC
moscowwalking.ru,TRUE,detected Google Tag but no FDC
zabasearch.com,TRUE,detected Google Tag but no FDC
vanastenbabysuperstore.nl,TRUE,detected Google Tag but no FDC
sinobiological.com,TRUE,detected Google Tag but no FDC
whitehousehistory.org,TRUE,detected Google Tag but no FDC
marine-deals.co.nz,TRUE,detected Google Tag but no FDC
bcwsupplies.com,TRUE,detected Google Tag but no FDC
atleta.cc,TRUE,detected Google Tag but no FDC
planoplan.com,TRUE,detected Google Tag but no FDC
samehadaku.care,TRUE,detected Google Tag but no FDC
berger-camping.it,TRUE,detected Google Tag but no FDC
growagoodlife.com,TRUE,detected Google Tag but no FDC
macour.jp,TRUE,detected Google Tag but no FDC
emicalculator.net,TRUE,detected Google Tag but no FDC
gazetkapromocyjna.com.pl,TRUE,detected Google Tag but no FDC
swisscasinos.ch,TRUE,detected Google Tag but no FDC
dagospia.com,TRUE,detected Google Tag but no FDC
ektekos.com,TRUE,detected Google Tag but no FDC
extra.com.br,TRUE,detected Google Tag but no FDC
sherpa.org,TRUE,detected Google Tag but no FDC
shinetsu.co.jp,TRUE,detected Google Tag but no FDC
ixxx.com,error loading,detected Google Tag but no FDC
streamable.com,TRUE,detected Google Tag but no FDC
bca.co.id,FALSE,detected Google Tag but no FDC
adp.com,TRUE,detected Google Tag but no FDC
bol.com,missing gtag,detected Google Tag but no FDC
spicytrends.com,TRUE,detected Google Tag but no FDC
madeiramadeira.com.br,TRUE,detected Google Tag but no FDC
airhistory.net,TRUE,detected Google Tag but no FDC
transequality.org,TRUE,detected Google Tag but no FDC
housinganywhere.com,TRUE,detected Google Tag but no FDC
brastemp.com.br,TRUE,detected Google Tag but no FDC
whatismyipaddress.com,TRUE,detected Google Tag but no FDC
zinnedproject.org,TRUE,detected Google Tag but no FDC
infojobs.net,TRUE,detected Google Tag but no FDC
e-fumeur.fr,TRUE,detected Google Tag but no FDC
chesspro.ru,TRUE,detected Google Tag but no FDC
codycrossanswers.net,TRUE,detected Google Tag but no FDC
sudoku-knacker.de,TRUE,detected Google Tag but no FDC
wcostream.tv,TRUE,detected Google Tag but no FDC
tripadvisor.com,missing gtag,detected Google Tag but no FDC
calcworkshop.com,TRUE,detected Google Tag but no FDC
iturf.fr,TRUE,detected Google Tag but no FDC
psychomedia.qc.ca,TRUE,detected Google Tag but no FDC
