url,status,validation type
nutella.com,TRUE,detected Meta Pixel but no FDC
irv2.com,TRUE,detected Meta Pixel but no FDC
soumunomori.com,TRUE,detected Meta Pixel but no FDC
55content.com.br,FALSE,detected Meta Pixel but no FDC
sovos.com,TRUE,detected Meta Pixel but no FDC
rospa.com,TRUE,detected Meta Pixel but no FDC
productnation.co,FALSE,detected Meta Pixel but no FDC
playbetter.com,FALSE,detected Meta Pixel but no FDC
northerntool.com,FALSE,detected Meta Pixel but no FDC
adorebeauty.com.au,FALSE,detected Meta Pixel but no FDC
nationalcar.com,TRUE,detected Meta Pixel but no FDC
ne-kurim.ru,TRUE,detected Meta Pixel but no FDC
southernco.com,TRUE,detected Meta Pixel but no FDC
gpsworld.com,TRUE,detected Meta Pixel but no FDC
tapresearch.com,TRUE,detected Meta Pixel but no FDC
termedia.pl,TRUE,detected Meta Pixel but no FDC
newportinstitute.com,TRUE,detected Meta Pixel but no FDC
avventurosamente.it,TRUE,detected Meta Pixel but no FDC
tipsport.cz,no meta pixel,detected Meta Pixel but no FDC
outreach.io,FALSE,detected Meta Pixel but no FDC
consumersadvocate.org,TRUE,detected Meta Pixel but no FDC
99acres.com,TRUE,detected Meta Pixel but no FDC
firearmsdepot.com,TRUE,detected Meta Pixel but no FDC
bmc-switzerland.com,TRUE,detected Meta Pixel but no FDC
nikkei.com,TRUE,detected Meta Pixel but no FDC
thegamecrafter.com,TRUE,detected Meta Pixel but no FDC
nakedwines.com,TRUE,detected Meta Pixel but no FDC
dogsnaturallymagazine.com,TRUE,detected Meta Pixel but no FDC
agroinformacion.com,no meta pixel,detected Meta Pixel but no FDC
icmarkets.com,TRUE,detected Meta Pixel but no FDC
fiat.com.mx,FALSE,detected Meta Pixel but no FDC
pawns.app,TRUE,detected Meta Pixel but no FDC
go2bank.com,TRUE,detected Meta Pixel but no FDC
ascodevida.com,TRUE,detected Meta Pixel but no FDC
aasm.org,TRUE,detected Meta Pixel but no FDC
staffr.net,TRUE,detected Meta Pixel but no FDC
pushys.com.au,TRUE,detected Meta Pixel but no FDC
abugarcia.com,TRUE,detected Meta Pixel but no FDC
farmalisto.com.mx,TRUE,detected Meta Pixel but no FDC
spar.co.za,TRUE,detected Meta Pixel but no FDC
mobileposse.com,TRUE,detected Meta Pixel but no FDC
fieldandstream.com,no meta pixel,detected Meta Pixel but no FDC
shogi.or.jp,TRUE,detected Meta Pixel but no FDC
eatingonadime.com,TRUE,detected Meta Pixel but no FDC
thetradedesk.com,TRUE,detected Meta Pixel but no FDC
sunlife.ca,TRUE,detected Meta Pixel but no FDC
enuri.com,TRUE,detected Meta Pixel but no FDC
rei.com,TRUE,detected Meta Pixel but no FDC
jeanhailes.org.au,TRUE,detected Meta Pixel but no FDC
alinamin.com.tw,TRUE,detected Meta Pixel but no FDC
bca.co.id,TRUE,detected Meta Pixel but no FDC
knbr.com,FALSE,detected Meta Pixel but no FDC
liquorandwineoutlets.com,TRUE,detected Meta Pixel but no FDC
staples.ca,TRUE,detected Meta Pixel but no FDC
topcv.vn,TRUE,detected Meta Pixel but no FDC
onclive.com,TRUE,detected Meta Pixel but no FDC
vegasworld.com,TRUE,detected Meta Pixel but no FDC
medscape.com,TRUE,detected Meta Pixel but no FDC
netapp.com,TRUE,detected Meta Pixel but no FDC
daiyafoods.com,TRUE,detected Meta Pixel but no FDC
nerdwallet.com,TRUE,detected Meta Pixel but no FDC
maquinac.com,TRUE,detected Meta Pixel but no FDC
allvolleyball.com,TRUE,detected Meta Pixel but no FDC
sorrisologia.com.br,no meta pixel,detected Meta Pixel but no FDC
bestrecipes.com.au,TRUE,detected Meta Pixel but no FDC
futbolred.com,TRUE,detected Meta Pixel but no FDC
pawlicy.com,TRUE,detected Meta Pixel but no FDC
argenprop.com,TRUE,detected Meta Pixel but no FDC
naijapals.com,TRUE,detected Meta Pixel but no FDC
blackwoods.com.au,TRUE,detected Meta Pixel but no FDC
fnbo.com,TRUE,detected Meta Pixel but no FDC
mizunousa.com,TRUE,detected Meta Pixel but no FDC
hamiltonwatch.com,no meta pixel,detected Meta Pixel but no FDC
lincolnfinancial.com,TRUE,detected Meta Pixel but no FDC
superjeweler.com,TRUE,detected Meta Pixel but no FDC
archdaily.com.br,TRUE,detected Meta Pixel but no FDC
myriad.com,TRUE,detected Meta Pixel but no FDC
aspensnowmass.com,TRUE,detected Meta Pixel but no FDC
hbportal.co,TRUE,detected Meta Pixel but no FDC
3pointdata.com,TRUE,detected Meta Pixel but no FDC
adidas.mx,TRUE,detected Meta Pixel but no FDC
lupus.org,TRUE,detected Meta Pixel but no FDC
masterclass.com,TRUE,detected Meta Pixel but no FDC
bcbsil.com,TRUE,detected Meta Pixel but no FDC
theseniorlist.com,TRUE,detected Meta Pixel but no FDC
springboard.com,TRUE,detected Meta Pixel but no FDC
stm.info,TRUE,detected Meta Pixel but no FDC
dukebasketballreport.com,FALSE,detected Meta Pixel but no FDC
potterybarn.com,TRUE,detected Meta Pixel but no FDC
airmiles.ca,TRUE,detected Meta Pixel but no FDC
ak4.jp,TRUE,detected Meta Pixel but no FDC
gu-global.com,FALSE,detected Meta Pixel but no FDC
culturevelo.com,FALSE,detected Meta Pixel but no FDC
investing.com,TRUE,detected Meta Pixel but no FDC
realmadryt.pl,TRUE,detected Meta Pixel but no FDC
ometria.email,TRUE,detected Meta Pixel but no FDC
plannedparenthood.org,TRUE,detected Meta Pixel but no FDC
classy.org,TRUE,detected Meta Pixel but no FDC
t-mobile.com,TRUE,detected Meta Pixel but no FDC
serenitylodgelakearrowhead.com,TRUE,detected Meta Pixel but no FDC
helsi.me,TRUE,detected Meta Pixel but no FDC
p2pb2b.com,TRUE,detected Meta Pixel but no FDC
kubara.jp,TRUE,detected Meta Pixel but no FDC
dolcegabbana.com,no meta pixel,detected Meta Pixel but no FDC
jdrf.org,TRUE,detected Meta Pixel but no FDC
mevosaude.com.br,TRUE,detected Meta Pixel but no FDC
moneyforward.com,TRUE,detected Meta Pixel but no FDC
shopvox.com,FALSE,detected Meta Pixel but no FDC
