url,has_meta_pixel,meta_form_data_configuration,meta_form_data_collection,has_gtag,google_form_data_collection
airfrance.com,FALSE,FALSE,FALSE,TRUE,FALSE
aktionspreis.de,FALSE,FALSE,FALSE,FALSE,FALSE
alditalk-kundenbetreuung.de,FALSE,FALSE,FALSE,FALSE,FALSE
arcaplanet.it,FALSE,FALSE,FALSE,FALSE,FALSE
architekturbedarf.de,FALSE,FALSE,FALSE,FALSE,FALSE
atoka.io,FALSE,FALSE,FALSE,FALSE,FALSE
auto24.ee,FALSE,FALSE,FALSE,FALSE,FALSE
awekas.at,FALSE,FALSE,FALSE,FALSE,FALSE
baby-markt.ch,FALSE,FALSE,FALSE,TRUE,FALSE
bahnbilder.de,FALSE,FALSE,FALSE,FALSE,FALSE
bdiexpress.com,FALSE,FALSE,FALSE,FALSE,FALSE
beuth.de,FALSE,FALSE,FALSE,FALSE,FALSE
bike-discount.de,FALSE,FALSE,FALSE,FALSE,FALSE
blog.gov.uk,FALSE,FALSE,FALSE,FALSE,FALSE
bluecarrental.is,FALSE,FALSE,FALSE,FALSE,FALSE
bolha.com,FALSE,FALSE,FALSE,FALSE,FALSE
bookwhen.com,FALSE,FALSE,FALSE,TRUE,FALSE
buienalarm.nl,FALSE,FALSE,FALSE,TRUE,FALSE
byggmakker.no,FALSE,FALSE,FALSE,FALSE,FALSE
canon.ru,FALSE,FALSE,FALSE,TRUE,FALSE
castrol.com,FALSE,FALSE,FALSE,FALSE,FALSE
cbs.dk,FALSE,FALSE,FALSE,FALSE,FALSE
chronopost.fr,FALSE,FALSE,FALSE,FALSE,FALSE
cmc.com,FALSE,FALSE,FALSE,FALSE,FALSE
dedeman.ro,FALSE,FALSE,FALSE,FALSE,FALSE
ebay.it,FALSE,FALSE,FALSE,FALSE,FALSE
ebay.nl,FALSE,FALSE,FALSE,FALSE,FALSE
ebusy.de,FALSE,FALSE,FALSE,FALSE,FALSE
energylandia.pl,FALSE,FALSE,FALSE,FALSE,FALSE
epidemicsound.com,FALSE,FALSE,FALSE,TRUE,FALSE
espacejeux.com,FALSE,FALSE,FALSE,FALSE,FALSE
essentiel-autonomie.com,FALSE,FALSE,FALSE,FALSE,FALSE
europris.no,FALSE,FALSE,FALSE,FALSE,FALSE
fishersci.com,FALSE,FALSE,FALSE,FALSE,FALSE
fonecta.fi,FALSE,FALSE,FALSE,FALSE,FALSE
fonus.se,FALSE,FALSE,FALSE,FALSE,FALSE
fortuneo.fr,FALSE,FALSE,FALSE,FALSE,FALSE
fronius.com,FALSE,FALSE,FALSE,FALSE,FALSE
gemu-group.com,FALSE,FALSE,FALSE,FALSE,FALSE
ghi-dc.org,FALSE,FALSE,FALSE,FALSE,FALSE
giant-bicycles.com,FALSE,FALSE,FALSE,FALSE,FALSE
gls-group.com,FALSE,FALSE,FALSE,FALSE,FALSE
gobranded.com,FALSE,FALSE,FALSE,FALSE,FALSE
golfhouse.de,FALSE,FALSE,FALSE,FALSE,FALSE
halkbank.com.tr,FALSE,FALSE,FALSE,FALSE,FALSE
hemkop.se,FALSE,FALSE,FALSE,FALSE,FALSE
henkel-adhesives.com,FALSE,FALSE,FALSE,FALSE,FALSE
hertz.com.au,FALSE,FALSE,FALSE,FALSE,FALSE
hidrive.com,FALSE,FALSE,FALSE,FALSE,FALSE
hoechsmann.com,FALSE,FALSE,FALSE,FALSE,FALSE
ikea.de,FALSE,FALSE,FALSE,FALSE,FALSE
imgsmail.ru,FALSE,FALSE,FALSE,FALSE,FALSE
interactivebrokers.com,FALSE,FALSE,FALSE,FALSE,FALSE
iq.com,FALSE,FALSE,FALSE,TRUE,FALSE
jiffylube.com,FALSE,FALSE,FALSE,FALSE,FALSE
kaercher.com,FALSE,FALSE,FALSE,FALSE,FALSE
katholisch.de,FALSE,FALSE,FALSE,FALSE,FALSE
kaufland.cz,FALSE,FALSE,FALSE,TRUE,FALSE
klart.se,FALSE,FALSE,FALSE,FALSE,FALSE
kox-direct.de,FALSE,FALSE,FALSE,FALSE,FALSE
kvb.koeln,FALSE,FALSE,FALSE,FALSE,FALSE
laithwaites.co.uk,FALSE,FALSE,FALSE,FALSE,FALSE
lempertz.com,FALSE,FALSE,FALSE,FALSE,FALSE
lepetitfumeur.fr,FALSE,FALSE,FALSE,FALSE,FALSE
letour.fr,FALSE,FALSE,FALSE,FALSE,FALSE
lidl.cz,FALSE,FALSE,FALSE,FALSE,FALSE
llifle.com,FALSE,FALSE,FALSE,FALSE,FALSE
mappy.com,FALSE,FALSE,FALSE,FALSE,FALSE
millerlite.com,FALSE,FALSE,FALSE,FALSE,FALSE
motoplanete.com,FALSE,FALSE,FALSE,FALSE,FALSE
moviepilot.de,FALSE,FALSE,FALSE,FALSE,FALSE
mybuilder.com,FALSE,FALSE,FALSE,FALSE,FALSE
mygls.be,FALSE,FALSE,FALSE,FALSE,FALSE
mywarhammer.com,FALSE,FALSE,FALSE,FALSE,FALSE
ncsc.gov.ph,FALSE,FALSE,FALSE,FALSE,FALSE
oip.org,FALSE,FALSE,FALSE,FALSE,FALSE
okcupid.com,FALSE,FALSE,FALSE,FALSE,FALSE
olympics.com,FALSE,FALSE,FALSE,FALSE,FALSE
ouigo.com,FALSE,FALSE,FALSE,FALSE,FALSE
parenting.pl,FALSE,FALSE,FALSE,FALSE,FALSE
pdsa.org.uk,FALSE,FALSE,FALSE,FALSE,FALSE
pennmedicine.org,FALSE,FALSE,FALSE,FALSE,FALSE
pfizer.com.br,FALSE,FALSE,FALSE,FALSE,FALSE
philadelphiaeagles.com,FALSE,FALSE,FALSE,FALSE,FALSE
philasearch.com,FALSE,FALSE,FALSE,FALSE,FALSE
pmu.fr,FALSE,FALSE,FALSE,FALSE,FALSE
pointp.fr,FALSE,FALSE,FALSE,FALSE,FALSE
psychic.de,FALSE,FALSE,FALSE,FALSE,FALSE
qnap.com,FALSE,FALSE,FALSE,TRUE,FALSE
rad-net.de,FALSE,FALSE,FALSE,FALSE,FALSE
radiofrance.fr,FALSE,FALSE,FALSE,FALSE,FALSE
rainews.it,FALSE,FALSE,FALSE,FALSE,FALSE
relate.org.uk,FALSE,FALSE,FALSE,FALSE,FALSE
rmi.org,FALSE,FALSE,FALSE,FALSE,FALSE
sabre-roads.org.uk,FALSE,FALSE,FALSE,FALSE,FALSE
saint-gobain.com,FALSE,FALSE,FALSE,FALSE,FALSE
sawtoothsoftware.com,FALSE,FALSE,FALSE,FALSE,FALSE
seb.lt,FALSE,FALSE,FALSE,FALSE,FALSE
sfr.fr,FALSE,FALSE,FALSE,FALSE,FALSE
shoop.de,FALSE,FALSE,FALSE,FALSE,FALSE
skgeodesy.sk,FALSE,FALSE,FALSE,FALSE,FALSE
sklepopon.com,FALSE,FALSE,FALSE,TRUE,FALSE
smhi.se,FALSE,FALSE,FALSE,FALSE,FALSE
sncf-connect.com,FALSE,FALSE,FALSE,FALSE,FALSE
soas.ac.uk,FALSE,FALSE,FALSE,FALSE,FALSE
solarweb.com,FALSE,FALSE,FALSE,FALSE,FALSE
storm.no,FALSE,FALSE,FALSE,FALSE,FALSE
surplex.com,FALSE,FALSE,FALSE,FALSE,FALSE
teamup.com,FALSE,FALSE,FALSE,FALSE,FALSE
thedungeons.com,FALSE,FALSE,FALSE,FALSE,FALSE
therme-erding.de,FALSE,FALSE,FALSE,FALSE,FALSE
thingiverse.com,FALSE,FALSE,FALSE,FALSE,FALSE
ticketone.it,FALSE,FALSE,FALSE,FALSE,FALSE
tiermedizinportal.de,FALSE,FALSE,FALSE,FALSE,FALSE
tjgo.jus.br,FALSE,FALSE,FALSE,FALSE,FALSE
tjk.org,FALSE,FALSE,FALSE,TRUE,FALSE
toom.de,FALSE,FALSE,FALSE,FALSE,FALSE
tre.se,FALSE,FALSE,FALSE,FALSE,FALSE
trendyol.com,FALSE,FALSE,FALSE,FALSE,FALSE
trivago.nl,FALSE,FALSE,FALSE,FALSE,FALSE
tropica.com,FALSE,FALSE,FALSE,FALSE,FALSE
univ-lemans.fr,FALSE,FALSE,FALSE,FALSE,FALSE
usgreencardoffice.com,FALSE,FALSE,FALSE,FALSE,FALSE
vcd.org,FALSE,FALSE,FALSE,FALSE,FALSE
vertaa.fi,FALSE,FALSE,FALSE,TRUE,FALSE
wgv.de,FALSE,FALSE,FALSE,FALSE,FALSE
xing.com,FALSE,FALSE,FALSE,FALSE,FALSE
yoursurprise.nl,FALSE,FALSE,FALSE,FALSE,FALSE
zeiss.com,FALSE,FALSE,FALSE,FALSE,FALSE
